issuer,sector,short_name,isin,currency,volume_circulation,min_lot,status,issue_date,maturity_date,price,accumulated_coupon,denomination,сoupon,сoupon_once_year,сoupon_type,instrument_type,amort,subord,guarant,high_yield,available_iis,hold_benefit
"ПАО ""Магнит""",корпоративные,Магнит4P06 / Магнит обб4П06,RU000A1090K0,RUB,25.00 RUB,1000,В обращении,22.07.2024,13.07.2026,99.63 / 99.59 / 99.67,16.27,1000,18.08 RUB,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
МБЭС,корпоративные,МБЭС 2P-02 / МБЭС обб2П02,RU000A107DS5,RUB,5.50 RUB,1000,В обращении,18.12.2023,14.12.2026,97.59 / 97.6 / 98.81,n/a,1000,104.27 RUB,2,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""Газпром""",корпоративные,ГазпромБ22 / Газпром обб22,RU000A0ZZES2,RUB,15.00 RUB,1000,В обращении,31.07.2018,23.06.2048,91.97 / 91.97 / 91.98,32.4,1000,40.39 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""",корпоративные,МКБ ЗО25-2 / МКБ об21,RU000A1086M4,USD,0.16 USD,1000,В обращении,19.04.2024,29.01.2025,98.4795 / 97.7601 / 98.47,1859.67,1000,23.50 USD,1,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Банк ГПБ (АО),корпоративные,ГПБ005P04P / ГПБ обб5П04,RU000A1097S8,RUB,3.00 RUB,1000,В обращении,13.08.2024,08.02.2028,95.32 / 94.83 / 95.41,20.26,1000,n/a,4,плавающий,Облигация,NAN,нет,нет,нет,да,да
ПАО Сбербанк,корпоративные,Сбер Sb47R / Сбербанк России обб2П05,RU000A1092X9,RUB,2.05 RUB,1000,В обращении,02.08.2024,30.01.2026,100.09 / 99.51 / 100.08,25.3,1000,n/a,4,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ООО ""Газпром капитал""",корпоративные,ГазпромКP4 / Газпром капитал оббП04,RU000A101QN1,RUB,15.00 RUB,1000,В обращении,02.06.2020,25.05.2027,70.15 / 70.36 / 70.67,3.23,1000,29.42 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Комитет финансов,субфедеральные/муниципальные,СПбГО35001 / Санкт-Петербург оба01,RU000A0ZYHX8,RUB,10.20 RUB,340,В обращении,06.12.2017,28.05.2025,94.48 / 94.48 / 94.49,1.36,340,13.05 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""Газпром капитал""",корпоративные,ГазКап2P11 / Газпром капитал обб2П11,RU000A107ET1,RUB,40.00 RUB,1000,В обращении,19.12.2023,14.12.2027,92.91 / 92.54 / 92.9,51.41,1000,52.01 RUB,4,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ООО ""Новые технологии""",корпоративные,НовТехнБ3 / Новые технологии обб03,RU000A1082W2,RUB,0.66 RUB,1000,В обращении,22.03.2024,09.03.2027,84.8 / 84.23 / 84.78,12.59,1000,13.03 RUB,12,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"АО ""ТАЛК лизинг""",корпоративные,ТАЛК001P01 / ТАЛК лизинг обб1П01,RU000A108E98,RUB,0.15 RUB,1000,В обращении,14.05.2024,04.05.2026,81.42 / 81.31 / 81.42,3,1000,15.00 RUB,12,изменяемый,Облигация,NAN,нет,нет,да,да,да
"ООО ""ТАЛАН-ФИНАНС""",корпоративные,ТАЛАНФБ1P3 / ТАЛАН-ФИНАНС оббП03,RU000A1043B8,RUB,0.40 RUB,400,В обращении,22.11.2021,19.05.2025,96.21 / 96 / 96.22,3.99,400,12.96 RUB,4,фиксированный,Облигация,да,нет,нет,нет,да,да
"ПАО ""КАМАЗ""",корпоративные,КАМАЗ БП12 / КАМАЗ оббП12,RU000A109JW0,RUB,8.00 RUB,1000,В обращении,17.09.2024,14.09.2027,97.69 / 96.82 / 97.69,52.77,1000,53.38 RUB,4,плавающий,Облигация,NAN,нет,нет,нет,да,да
