issuer,sector,short_name,isin,currency,volume_circulation,min_lot,status,issue_date,maturity_date,price,accumulated_coupon,denomination,сoupon,сoupon_once_year,сoupon_type,instrument_type,amort,subord,guarant,high_yield,available_iis,hold_benefit
Минфин России,государственные,ОФЗ 26238 / ОФЗ-ПД238,RU000A1038V6,RUB,500.00 RUB,1000,В обращении,23.06.2021,15.05.2041,49.918 / 49.916 / 49.918,2.33,1000,35.40 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26248 / ОФЗ-ПД248,RU000A108EH4,RUB,750.00 RUB,1000,В обращении,04.07.2024,16.05.2040,74.33 / 74.321 / 74.33,4.03,1000,61.08 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26243 / ОФЗ-ПД243,RU000A106E90,RUB,750.00 RUB,1000,В обращении,22.06.2023,19.05.2038,63.329 / 63.302 / 63.329,3.22,1000,48.87 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26247 / ОФЗ-ПД247,RU000A108EF8,RUB,750.00 RUB,1000,В обращении,16.05.2024,11.05.2039,74.762 / 74.687 / 74.694,6.38,1000,61.08 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,RUS-28 / MINFIN RF 12.75 24/06/28,XS0088543193,USD,2.50 USD,1000,В обращении,09.06.2014,26.06.2028,111.8,60.92,1000,63.75 USD,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""Газпром капитал""",корпоративные,ГазКЗ-27Д / Газпром капитал об07,RU000A1056U0,USD,0.40 USD,1000,В обращении,23.09.2022,23.03.2027,88.89,11.41,1000,24.75 USD,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26234 / ОФЗ-ПД234,RU000A101QE0,RUB,496.71 RUB,1000,В обращении,10.06.2020,16.07.2025,91.263 / 91.227 / 91.264,18.74,1000,22.44 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26246 / ОФЗ-ПД246,RU000A108EE1,RUB,750.00 RUB,1000,В обращении,23.05.2024,12.03.2036,75.599 / 75.595 / 75.599,26.96,1000,59.84 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26244 / ОФЗ-ПД244,RU000A1074G2,RUB,750.00 RUB,1000,В обращении,02.11.2023,15.03.2034,75.052 / 75.022 / 75.052,25.28,1000,56.10 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 29014 / ОФЗ-ПК014,RU000A101N52,RUB,450.00 RUB,1000,В обращении,08.07.2020,25.03.2026,99.85 / 99.846 / 99.85,44.02,1000,n/a,4,плавающий,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26229 / ОФЗ-ПД229,RU000A100EG3,RUB,450.00 RUB,1000,В обращении,05.06.2019,12.11.2025,88.925 / 88.917 / 88.925,6.46,1000,35.65 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26240 / ОФЗ-ПД240,RU000A103BR0,RUB,500.00 RUB,1000,В обращении,30.06.2021,30.07.2036,53.847 / 53.755 / 53.843,23.78,1000,34.90 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26241 / ОФЗ-ПД241,RU000A105FZ9,RUB,750.00 RUB,1000,В обращении,16.11.2022,17.11.2032,67.991 / 67.913 / 67.989,4.95,1000,47.37 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26233 / ОФЗ-ПД233,RU000A101F94,RUB,450.00 RUB,1000,В обращении,13.05.2020,18.07.2035,51.416 / 51.415 / 51.416,23.07,1000,30.42 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""РусГидро""",корпоративные,РусГид2Р01 / РусГидро обб2П01,RU000A10A349,RUB,40.00 RUB,1000,В обращении,14.11.2024,05.11.2026,99.3 / 99.28 / 99.3,1.26,1000,18.90 RUB,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26242 / ОФЗ-ПД242,RU000A105RV3,RUB,500.00 RUB,1000,В обращении,26.01.2023,29.08.2029,72.297 / 72.297 / 72.299,25.4,1000,44.88 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26230 / ОФЗ-ПД230,RU000A100EF5,RUB,300.00 RUB,1000,В обращении,19.06.2019,16.03.2039,53.272 / 53.279 / 53.339,15.82,1000,38.39 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 29006 / ОФЗ-ПК006,RU000A0JV4L2,RUB,390.29 RUB,1000,В обращении,21.01.2015,29.01.2025,99.416 / 99.415 / 99.416,64.24,1000,84.72 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26207 / ОФЗ-ПД207,RU000A0JS3W6,RUB,350.00 RUB,1000,В обращении,09.06.2014,03.02.2027,79.75 / 79.75 / 79.76,29.25,1000,40.64 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26226 / ОФЗ-ПД226,RU000A0ZZYW2,RUB,350.00 RUB,1000,В обращении,06.02.2019,07.10.2026,81.959 / 81.958 / 81.959,14.81,1000,39.64 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""ГК ""Самолет""",корпоративные,СамолетP13 / ГК Самолет оббП13,RU000A107RZ0,RUB,24.50 RUB,1000,В обращении,09.02.2024,25.01.2027,69.12 / 69.11 / 69.12,4.45,1000,12.12 RUB,12,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"АО ""ГТЛК""",корпоративные,ГТЛК 2P-04 / ГТЛК обб2П04,RU000A10A3Z4,RUB,10.00 RUB,1000,В обращении,20.11.2024,25.10.2029,99.79 / 99.77 / 99.79,17.81,1000,20.55 RUB,12,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26212 / ОФЗ-ПД212,RU000A0JTK38,RUB,358.93 RUB,1000,В обращении,09.06.2014,19.01.2028,72.494 / 72.43 / 72.491,28,1000,35.15 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""ГК ""Самолет""",корпоративные,СамолетP14 / ГК Самолет оббП14,RU000A1095L7,RUB,20.00 RUB,1000,В обращении,06.08.2024,22.07.2027,70.15 / 70.12 / 70.15,7.81,1000,n/a,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""Газпром нефть""",корпоративные,Газпн3P13R / Газпром нефть обб3П13,RU000A109B33,RUB,55.00 RUB,1000,В обращении,28.08.2024,09.02.2028,96.95 / 96.96 / 97.07,12.22,1000,n/a,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26225 / ОФЗ-ПД225,RU000A0ZYUB7,RUB,350.00 RUB,1000,В обращении,28.02.2018,10.05.2034,55.915 / 55.814 / 55.903,5.16,1000,36.15 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""Газпром нефть""",корпоративные,Газпн3P10R / Газпром нефть обб3П10,RU000A107UW1,RUB,50.00 RUB,1000,В обращении,28.02.2024,12.02.2027,97.95 / 97.82 / 97.93,13.44,1000,n/a,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26232 / ОФЗ-ПД232,RU000A1014N4,RUB,450.00 RUB,1000,В обращении,11.12.2019,06.10.2027,71.2 / 71.2 / 71.256,11.18,1000,29.92 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26237 / ОФЗ-ПД237,RU000A1038Z7,RUB,419.12 RUB,1000,В обращении,23.06.2021,14.03.2029,66.083 / 66.089 / 66.134,16.34,1000,33.41 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26219 / ОФЗ-ПД219,RU000A0JWM07,RUB,350.00 RUB,1000,В обращении,06.07.2016,16.09.2026,82.085 / 82.085 / 82.138,18.9,1000,38.64 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26236 / ОФЗ-ПД236,RU000A102BT8,RUB,500.00 RUB,1000,В обращении,25.11.2020,17.05.2028,66.731 / 66.727 / 66.731,4.06,1000,28.42 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26218 / ОФЗ-ПД218,RU000A0JVW48,RUB,250.00 RUB,1000,В обращении,17.02.2016,17.09.2031,64.917 / 64.855 / 64.914,19.09,1000,42.38 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""Совкомбанк""",корпоративные,СовкомБОП5 / Совкомбанк оббП09,RU000A109VL8,RUB,22.00 RUB,1000,В обращении,25.10.2024,11.10.2027,98.47 / 98.44 / 98.49,13.86,1000,n/a,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""ГК ""Самолет""",корпоративные,СамолетP12 / ГК Самолет оббП12,RU000A104YT6,RUB,15.00 RUB,1000,В обращении,15.07.2022,11.07.2025,89.77 / 89.78 / 90.05,23.96,1000,33.03 RUB,4,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""ГК ""Самолет""",корпоративные,СамолетP11 / ГК Самолет оббП11,RU000A104JQ3,RUB,20.00 RUB,1000,В обращении,15.02.2022,08.02.2028,94.89 / 94.74 / 94.86,43.49,1000,63.33 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26228 / ОФЗ-ПД228,RU000A100A82,RUB,450.00 RUB,1000,В обращении,24.04.2019,10.04.2030,66.431 / 66.385 / 66.431,12.79,1000,38.15 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""ГМК ""Норильский никель""",корпоративные,НорНикБ1P7 / ГМК Норильский никель оббП07,RU000A1083A6,RUB,100.00 RUB,1000,В обращении,26.03.2024,28.02.2029,95.74 / 95.67 / 95.74,15.27,1000,18.33 RUB,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""МТС""",корпоративные,МТС 1P-23 / МТС оббП23,RU000A105NA6,RUB,15.00 RUB,1000,В обращении,21.12.2022,18.12.2024,99.97 / 99.91 / 99.97,20.48,1000,20.94 RUB,4,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26221 / ОФЗ-ПД221,RU000A0JXFM1,RUB,350.00 RUB,1000,В обращении,15.03.2017,23.03.2033,60.594 / 60.514 / 60.594,15.82,1000,38.39 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО МФК ""Т-Финанс""",корпоративные,ТФинанс1P1 / МФК Т-Финанс оббП01,RU000A109KT4,RUB,10.00 RUB,1000,В обращении,20.09.2024,10.09.2026,93.3 / 93.29 / 93.41,17.57,1000,n/a,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ОАО ""РЖД""",корпоративные,РЖД 1Р-28R / РЖД оббП28,RU000A106ZL5,RUB,45.00 RUB,1000,В обращении,05.10.2023,20.09.2030,93.69 / 93.67 / 93.69,2.4,1000,18.63 RUB,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26224 / ОФЗ-ПД224,RU000A0ZYUA9,RUB,350.00 RUB,1000,В обращении,07.03.2018,23.05.2029,66.9 / 66.9 / 66.982,3.59,1000,34.41 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ОАО ""РЖД""",корпоративные,РЖД 1Р-32R / РЖД оббП32,RU000A108Z85,RUB,45.00 RUB,1000,В обращении,15.07.2024,20.08.2029,95.32 / 95.33 / 95.42,16.97,1000,17.54 RUB,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"АО ""Россельхозбанк""",корпоративные,РСХБ2Р2 / Россельхозбанк обб2П10,RU000A1068R1,RUB,25.00 RUB,1000,В обращении,19.05.2023,08.05.2026,97.81 / 97.8 / 97.81,11.27,1000,18.39 RUB,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ООО ""СФО СБ Секьюритизация""",корпоративные,СБ СекьюрА / СБ Секьюритизация об01,RU000A1097T6,RUB,8.67 RUB,912.32,В обращении,30.08.2024,26.08.2033,95.59 / 95.54 / 95.59,10,912.32,15.00 RUB,12,фиксированный,Облигация,да,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 29016 / ОФЗ-ПК016,RU000A1025B5,RUB,155.06 RUB,1000,В обращении,30.09.2020,23.12.2026,99.389 / 99.35 / 99.389,44.02,1000,n/a,4,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""НОВАТЭК""",корпоративные,НОВАТЭК1Р2 / НОВАТЭК оббП02,RU000A108G70,USD,0.75 USD,100,В обращении,22.05.2024,16.05.2029,87.6988 / 86.9064 / 87.6989,46.78,100,1.56 USD,4,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""МВ ФИНАНС""",корпоративные,МВ ФИН 1Р4 / МВ ФИНАНС оббП04,RU000A106540,RUB,7.00 RUB,1000,В обращении,21.04.2023,17.04.2026,87.56 / 87.45 / 87.55,21.09,1000,32.54 RUB,4,фиксированный,Облигация,NAN,нет,нет,нет,да,да
ПАО Сбербанк,корпоративные,Сбер Sb44R / Сбербанк России обб2П02,RU000A1069P3,RUB,68.00 RUB,1000,В обращении,31.05.2023,27.05.2026,85.71 / 85.62 / 85.71,4.87,1000,46.62 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"АО ""Селектел""",корпоративные,iСелктл1Р5 / Селектел оббП05,RU000A10A7S0,RUB,4.00 RUB,1000,В обращении,04.12.2024,24.05.2027,99.79 / 99.77 / 99.79,8.22,1000,n/a,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""Каршеринг Руссия""",корпоративные,iКарРус1P3 / Каршеринг Руссия оббП03,RU000A106UW3,RUB,4.50 RUB,1000,В обращении,08.09.2023,18.08.2027,71.75 / 71.74 / 71.97,5.63,1000,11.26 RUB,12,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""Ростелеком""",корпоративные,РостелP13R / Ростелеком оббП13,RU000A10A3R1,RUB,20.00 RUB,1000,В обращении,19.11.2024,14.11.2025,100.8 / 100.62 / 100.8,17.01,1000,18.90 RUB,12,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""СФО ВТБ РКС-1 """,корпоративные,ВТБРКС01 / СФО ВТБ РКС-1 об01,RU000A1032P1,RUB,24.35 RUB,695.61,В обращении,10.06.2021,02.12.2030,86.65 / 86.6 / 86.65,2.29,695.61,4.73 RUB,12,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""ГК ""Самолет""",корпоративные,СамолетP15 / ГК Самолет оббП15,RU000A109874,RUB,5.00 RUB,1000,В обращении,14.08.2024,30.07.2027,80.05 / 79.92 / 80.1,2.14,1000,16.03 RUB,12,фиксированный,Облигация,NAN,нет,нет,нет,да,да
ПАО Сбербанк,корпоративные,Сбер Sb42R / Сбербанк оббП582,RU000A105SD9,RUB,62.00 RUB,1000,В обращении,03.02.2023,03.03.2025,97.52 / 97.46 / 97.51,25.56,1000,43.88 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""МВ ФИНАНС""",корпоративные,МВ ФИН 1Р5 / МВ ФИНАНС оббП05,RU000A109908,RUB,3.75 RUB,1000,В обращении,16.08.2024,06.08.2026,75.19 / 75.01 / 75.19,1.38,1000,20.75 RUB,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""ФосАгро""",корпоративные,ФосАгро2П1 / ФосАгро обб2П01,RU000A10A4S7,RUB,20.00 RUB,1000,В обращении,22.11.2024,29.10.2029,100 / 99.99 / 100,15.12,1000,18.90 RUB,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ООО ""ЕвразХолдинг Финанс""",корпоративные,ЕврХол3P01 / ЕвразХолдинг Финанс обб3П01,RU000A108G05,RUB,40.00 RUB,1000,В обращении,21.05.2024,09.11.2026,94.25 / 94.11 / 94.25,15.88,1000,18.33 RUB,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ООО ""Газпром капитал""",корпоративные,ГазпКап3P2 / Газпром капитал обб3П02,RU000A108JV4,RUB,40.00 RUB,1000,В обращении,28.05.2024,08.05.2028,94.35 / 94.3 / 94.39,13.41,1000,n/a,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""ФосАгро""",корпоративные,ФосАгро П2 / ФосАгро оббП04,RU000A109K40,RUB,35.00 RUB,1000,В обращении,18.09.2024,08.09.2026,98.2 / 98.2 / 98.24,17.56,1000,18.16 RUB,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ООО ""Балтийский лизинг""",корпоративные,БалтЛизП10 / Балтийский лизинг оббП10,RU000A108777,RUB,8.00 RUB,1000,В обращении,23.04.2024,08.04.2027,86.72 / 86.61 / 86.74,17.24,1000,19.15 RUB,12,плавающий,Облигация,да,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26239 / ОФЗ-ПД239,RU000A103901,RUB,500.00 RUB,1000,В обращении,16.06.2021,23.07.2031,59.878 / 59.816 / 59.877,26.09,1000,34.41 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ОАО ""РЖД""",корпоративные,РЖД 1Р-26R / РЖД оббП26,RU000A106K43,RUB,30.00 RUB,1000,В обращении,17.07.2023,19.07.2028,93.6 / 93.48 / 93.62,12.81,1000,18.06 RUB,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ООО ""Брусника. Строительство и девелопмент""",корпоративные,Брус 2P02 / Брусника обб2П02,RU000A107UU5,RUB,7.50 RUB,1000,В обращении,07.03.2024,29.03.2027,83.97 / 83.96 / 83.97,2.23,1000,13.80 RUB,12,фиксированный,Облигация,да,нет,нет,нет,да,да
"ПАО ""ЛК ""Европлан""",корпоративные,Европлн1Р7 / ЛК Европлан оббП07,RU000A108Y86,RUB,12.00 RUB,1000,В обращении,09.07.2024,24.06.2027,95.83 / 95.75 / 95.83,6.27,1000,n/a,12,плавающий,Облигация,да,нет,нет,нет,да,да
"ПАО ""ТрансКонтейнер""",корпоративные,ТрансКо2P1 / ТрансКонтейнер обб2П01,RU000A109E71,RUB,27.00 RUB,1000,В обращении,04.09.2024,20.08.2027,95.2 / 95.18 / 95.2,8.1,1000,n/a,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ООО ""Балтийский лизинг""",корпоративные,БалтЛизП11 / Балтийский лизинг оббП11,RU000A108P46,RUB,6.00 RUB,1000,В обращении,24.06.2024,09.06.2027,86.2 / 86.08 / 86.2,15.96,1000,n/a,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ООО ""МВ ФИНАНС""",корпоративные,МВ ФИН 1Р3 / МВ ФИНАНС оббП03,RU000A104ZK2,RUB,5.00 RUB,1000,В обращении,26.07.2022,22.07.2025,87.14 / 87.14 / 87.15,18.61,1000,30.79 RUB,4,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""ЕвроТранс""",корпоративные,ЕвроТранс5 / ЕвроТранс оббП05,RU000A10A141,RUB,2.00 RUB,1000,В обращении,11.11.2024,16.10.2029,100.04 / 100 / 100.04,3.42,1000,20.55 RUB,12,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"АК ""АЛРОСА"" (ПАО)",корпоративные,АЛРОСА1Р2 / Алроса оббП02,RU000A109SH2,RUB,25.00 RUB,1000,В обращении,14.10.2024,07.04.2026,98.7 / 98.68 / 98.7,1.82,1000,n/a,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""Группа Черкизово""",корпоративные,ЧеркизБ1P7 / Группа Черкизово оббП07,RU000A1094F2,RUB,7.00 RUB,1000,В обращении,30.07.2024,15.07.2027,98.3 / 98.1 / 98.29,11.63,1000,n/a,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""Каршеринг Руссия""",корпоративные,iКарРус1P2 / Каршеринг Руссия оббП02,RU000A106A86,RUB,4.50 RUB,1000,В обращении,26.05.2023,22.05.2026,77.74 / 77.7 / 77.73,8.35,1000,31.66 RUB,4,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""Газпром капитал""",корпоративные,ГазКЗ-34Д / Газпром капитал об3П01,RU000A105A95,USD,0.75 USD,1000,В обращении,21.10.2022,28.04.2034,94.2298 / 94 / 94.2298,1195.43,1000,43.13 USD,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26235 / ОФЗ-ПД235,RU000A1028E3,RUB,483.82 RUB,1000,В обращении,28.10.2020,12.03.2031,57.3 / 57.3 / 57.349,14.39,1000,29.42 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 29025 / ОФЗ-ПК025,RU000A106Z61,RUB,750.00 RUB,1000,В обращении,05.10.2023,12.08.2037,93.171 / 93.056 / 93.171,10.79,1000,n/a,4,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""ЕвроТранс""",корпоративные,ЕвроТранс3 / ЕвроТранс оббП03,RU000A1061K1,RUB,5.00 RUB,1000,В обращении,04.04.2023,15.03.2027,74.8 / 74.59 / 74.78,8.2,1000,11.18 RUB,12,фиксированный,Облигация,да,нет,нет,да,да,да
ПАО Сбербанк,корпоративные,Сбер SbD3R / Сбербанк оббП686,RU000A109X37,RUB,16.00 RUB,1000,В обращении,11.11.2024,12.11.2029,44.98 / 44.97 / 44.98,n/a,1000,n/a,n/a,нулевой (дисконтная),Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 29020 / ОФЗ-ПК020,RU000A102BV4,RUB,294.54 RUB,1000,В обращении,11.11.2020,22.09.2027,98.196 / 98.065 / 98.188,44.02,1000,n/a,4,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""Группа Позитив""",корпоративные,iПозитивР1 / Группа Позитив обб1П01,RU000A109098,RUB,5.00 RUB,1000,В обращении,19.07.2024,05.07.2027,98.76 / 98.75 / 98.76,n/a,1000,n/a,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""Газпром нефть""",корпоративные,Газпнф3P8R / Газпром нефть обб3П08,RU000A107HG1,RUB,12.00 RUB,1000,В обращении,28.12.2023,14.12.2026,99.9 / 99.89 / 99.9,14.66,1000,n/a,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""СИБУР Холдинг""",корпоративные,СибурХ1Р02 / СИБУР Холдинг оббП02,RU000A10A7H3,RUB,9.90 RUB,1000,В обращении,03.12.2024,23.11.2026,100.03 / 100.01 / 100.03,8.23,1000,n/a,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
администрация Города Томска,субфедеральные/муниципальные,ТомскАдм 9 / Томск оба09,RU000A10A6J1,RUB,1.20 RUB,1000,В обращении,28.11.2024,14.12.2026,101.26 / 101.22 / 101.26,12.82,1000,22.08 RUB,12,фиксированный,Облигация,да,нет,нет,нет,да,да
"ПАО ""Россети Ленэнерго""",корпоративные,РСетиЛЭ1P1 / Россети Ленэнерго оббП01,RU000A107EC7,RUB,10.00 RUB,1000,В обращении,18.12.2023,29.11.2027,96.02 / 96.01 / 96.02,2.43,1000,18.21 RUB,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ООО ""Газпром капитал""",корпоративные,ГазКЗ-37Д / Газпром капитал об3П11,RU000A105RH2,USD,0.90 USD,1000,В обращении,27.01.2023,17.08.2037,83.1226 / 83.13 / 83.35,2524.95,1000,36.44 USD,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""Сегежа Групп""",корпоративные,Сегежа2P5R / Сегежа обб2П05,RU000A1053P7,RUB,10.00 RUB,1000,В обращении,18.08.2022,30.07.2037,70.2 / 70.1 / 70.17,36.23,1000,53.60 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""Балтийский лизинг""",корпоративные,БалтЛизП12 / Балтийский лизинг оббП12,RU000A109551,RUB,7.50 RUB,1000,В обращении,09.09.2024,25.08.2027,86.16 / 85.96 / 86.16,5.11,1000,n/a,12,плавающий,Облигация,да,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26245 / ОФЗ-ПД245,RU000A108EG6,RUB,500.00 RUB,1000,В обращении,20.06.2024,26.09.2035,78.723 / 78.75 / 79.014,22.36,1000,59.84 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"АО ""Эталон-Финанс""",корпоративные,ЭталонФин2 / Эталон-Финанс обб2П02,RU000A109SP5,RUB,8.00 RUB,1000,В обращении,15.10.2024,30.09.2027,80.91 / 80.06 / 80.91,1.32,1000,19.73 RUB,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ПАО АФК ""Система""",корпоративные,Систем1P30 / АФК Система оббП30,RU000A108GN7,RUB,12.00 RUB,1000,В обращении,23.05.2024,17.08.2028,71.88 / 71.88 / 71.89,15.89,1000,n/a,4,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ООО ""Сэтл Групп""",корпоративные,СэтлГрБ2P3 / Сэтл Групп обб2П03,RU000A1084B2,RUB,12.00 RUB,1000,В обращении,29.03.2024,15.03.2027,81.95 / 81.86 / 81.94,9.34,1000,12.74 RUB,12,фиксированный,Облигация,NAN,нет,нет,да,да,да
"АК ""АЛРОСА"" (ПАО)",корпоративные,АЛРОСА1Р1 / Алроса оббП01,RU000A109L49,RUB,45.00 RUB,1000,В обращении,23.09.2024,04.09.2028,95.98 / 95.78 / 95.97,14.6,1000,n/a,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ООО ""РЕСО-Лизинг""",корпоративные,РЕСОЛиз2П5 / РЕСО-Лизинг обб2П05,RU000A1075J3,RUB,11.00 RUB,1000,В обращении,01.11.2023,19.10.2033,85.82 / 85.72 / 85.86,27.53,1000,n/a,4,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""Полюс""",корпоративные,Полюс Б1P4 / Полюс оббП04,RU000A108L81,USD,0.15 USD,100,В обращении,04.06.2024,10.05.2029,90.1962 / 89.801 / 90.1954,25.99,100,0.51 USD,12,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"АО ""Эталон-Финанс""",корпоративные,ЭталонФин1 / Эталон-Финанс обб2П01,RU000A105VU7,RUB,10.00 RUB,1000,В обращении,22.02.2023,03.02.2038,75.71 / 75.6 / 75.71,9.76,1000,34.16 RUB,4,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""Совкомбанк Лизинг""",корпоративные,СовкмЛ П07 / Совкомбанк Лизинг оббП07,RU000A1099V8,RUB,6.00 RUB,1000,В обращении,23.08.2024,09.08.2027,95.56 / 95.55 / 95.56,15.75,1000,n/a,12,плавающий,Облигация,да,нет,нет,нет,да,да
"АО ""Россельхозбанк""",корпоративные,РСХБ2Р3 / Россельхозбанк обб2П11,RU000A107S10,RUB,42.00 RUB,1000,В обращении,09.02.2024,29.01.2027,97.97 / 97.95 / 97.97,0.6,1000,17.49 RUB,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
